
база катып жатат | перезагрузите компьютер и проверьте интернет
Где в системе находится реестр справок 086/у и какие вкладки он содержит? | Реестр доступен в левом меню в разделе «Справки» → «Справка 086/У» и содержит вкладки: «Черновик», «Ожидает подписи», «Подписанные» и «Аннулированные».
Какие действия доступны на вкладке «Черновик» реестра справок 086/у? | Доступны действия «Подробнее» (просмотр карты), «Новое посещение» (создание повторного визита) и «Редактировать» (изменение справки руководителем ОЗ).
Что происходит при выборе действия «Новое посещение» на вкладке «Черновик»? | Создаётся новый визит по профилактическому осмотру для пациента после подтверждения ФИО, ПИН и даты визита.
Какие справки находятся на вкладке «Ожидает подписи» реестра? | Там отображаются справки, успешно прошедшие проверку данных и готовые к подписанию ответственным врачом или руководителем ОЗ.
Что происходит с амбулаторным обращением пациента после успешного подписания справки 086/у? | После успешного подписания ОЭП справка переходит в статус «Подписанные», а обращение (посещение) закрывается автоматически.
Кто и где может аннулировать подписанную справку 086/у? | Аннулировать подписанную справку может Руководитель ОЗ на вкладке «Подписанные» через кнопку «Действия» → «Аннулировать».
Куда перемещается справка 086/у после процедуры аннулирования? | Аннулированная справка автоматически перемещается на вкладку «Аннулированные» в реестре справок 086/У.
Как авторизоваться в системе Sanarip Clinic для подписания документов через ЕСИА? | Для входа через ЕСИА нажмите кнопку «Войти через ЕСИ» и отсканируйте QR-код через мобильное приложение Түндүк.
Как подписать справку 086/у с помощью ОЭП? | Нажмите кнопку «Подписать», в окне подтверждения запросите PIN-код на email (или введите полученный по SMS/email) и нажмите «Подписать».
Что делать, если при подписании возникает ошибка «Ваша учётная запись ОЭП заблокирована»? | При возникновении ошибки блокировки учётной записи ОЭП необходимо обратиться в службу поддержки по номеру 119.
Что произойдёт, если у врача нет разрешения на подпись справки 086/у? | Система выведет предупреждающее сообщение «У вас нет разрешения на подпись Справки 086», и подписание будет заблокировано.
Куда отправляется PIN-код при нажатии кнопки «Запросить PIN-код на email»? | PIN-код ОЭП высылается на адрес электронной почты, привязанный к облачной электронной подписи организации здравоохранения.
Какова роль Руководителя ОЗ при работе со справками 086/у? | Руководитель ОЗ выдаёт разрешения на подпись врачам, редактирует черновики и имеет исключительное право аннулировать подписанные справки.
Как перейти на сайт системы Sanarip Clinic? | Перейдите на официальный сайт по адресу https://mis.med.kg.
Как войти в личный кабинет системы Sanarip Clinic? | Нажмите кнопку «Личный кабинет» на главной странице, введите логин и пароль, затем нажмите «Войти».
Как открыть раздел «Регистр СД» в Sanarip Clinic? | В главном меню откройте модуль «Регистры» и перейдите в подраздел «Регистр СД».
Из каких подразделов состоит модуль «Регистр СД»? | Модуль включает в себя подразделы: «Журнал пациентов с СД», «Журнал пациентов с риском развития СД» и «Аналитика и отчеты».
Какая информация содержится в «Журнале пациентов с СД»? | В журнале видны ПИН, ФИО пациента, тип диабета, дата постановки диагноза, лечащий врач, статус учета, дата и ФИО подтвердившего диагноз.
Какие фильтры доступны для поиска в Журнале пациентов с СД? | Поиск выполняется по ПИН, ФИО, дате постановки диагноза, статусу, типу диабета, ФИО лечащего врача и ФИО подтвердившего.
Какие действия доступны в колонке действий Журнала пациентов с СД? | В колонке «Действия» доступны пункты: «Подробнее», «Поставить на учет», «Снять с учета» и «Обновить данные о диагнозе».
Что находится в блоке «Профиль пациента» вкладки «Подробнее»? | Отображаются основные сведения: персональные данные, страховой статус, информация о хронических заболеваниях и группах ЛОВЗ.
Какая информация выводится в блоке «Данные по заболеванию»? | Выводятся сведения о диагнозе: дата постановки, код по МКБ-10 и точная формулировка диагноза.
Что хранится в блоке «История диагнозов» пациента? | В блоке хранится информация об измененных и уточненных диагнозах сахарного диабета и их динамика во времени.
Какое назначение имеет блок «История изменения целевых уровней»? | Фиксирует целевые значения HbA1c, липидов и артериального давления, устанавливаемые и корректируемые врачом.
Что содержит подраздел «Лечение основного заболевания»? | Данные о назначении лекарств для лечения сахарного диабета: наименования, схемы, сроки и факты получения препаратов.
Какая информация содержится во вкладке «Все назначенные ЛС»? | Отдельный список всех назначенных пациенту лекарственных средств, включая препараты для сопутствующих заболеваний.
Какая информация отображается в блоке «Стационарное лечение»? | Данные о госпитализациях пациента: даты, медицинская организация, диагноз и проведённое лечение.
Для чего нужен блок «Диагностические калькуляторы»? | Автоматически рассчитывает медицинские индексы, такие как функция почек, индекс атерогенности и психоэмоциональные тесты.
Какие показатели отображаются в блоке «Данные по пациенту»? | Антропометрические и клинические данные: рост, вес, ИМТ, артериальное давление, пульс, температура и сатурация.
Какая информация представлена в блоках лабораторных и инструментальных исследований? | Результаты анализов (углеводный обмен, липидный профиль, почки) и данные исследований (ЭКГ, УЗИ, рентген, офтальмоскопия).
Какие поля заполняются при постановке пациента на учет по СД? | Заполняются целевые уровни HbA1c/LDL/САД/ДАД, галочка «впервые на учете», вид диагноза, код МКБ-10, дата выявления и осложнения.
Нужно ли ставить на учет пациента при ошибочном вводе СД в карте? | Подтверждение диагноза и постановка на учет не требуются, если диагноз СД был указан врачом в амбулаторной карте по ошибке.
Как исправить ошибочную постановку пациента на учет в Регистре СД? | Организация отправляет письмо через СЭД в ЦЭЗ МЗ КР с приложением объяснительной записки по каждому случаю.
Какой статус получает диагноз СД от сторонней ОЗ без подтверждения приписанного врача? | Запись в журнале остается в статусе «не подтверждён» и не переводится в статус «состоит на учёте».
Каков порядок действий для снятия пациента с учета по СД? | Выберите пациента, в колонке «Действия» нажмите «Снять с учета», укажите обязательную причину снятия и нажмите «Сохранить».
Какие причины можно указать при снятии пациента с учета по СД? | Причинами могут быть смерть пациента, переезд в другой регион, ошибка постановки на учет и другие основания.
Как изменить или обновить ранее внесенные данные о диагнозе СД? | В колонке «Действия» выберите «Обновить данные о диагнозе», откорректируйте необходимые поля и сохраните изменения.
Кто автоматически попадает в «Журнал пациентов с риском развития СД»? | Пациенты, у которых по результатам оценки выявлен умеренный, высокий или очень высокий риск развития сахарного диабета.
Какие данные отображаются в Журнале пациентов с риском развития СД? | Отображаются ПИН, ФИО, уровень риска по FINDRISK (балл и пояснение), дата последней оценки и дата консультации.
Для чего предназначен подраздел «Аналитика и отчеты»? | Для мониторинга, анализа статистики, оценки рисков, определения потребности в инсулине и экспорта отчетов в Excel.
Какая информация доступна в блоках по инсулину раздела аналитики? | Отображается прогнозируемая, суточная и годовая потребность пациентов в инсулине с учетом необходимого запаса.
Как выгрузить данные из Регистра СД для внешнего анализа? | В разделе «Отчеты» подраздела «Аналитика и отчеты» выберите нужные параметры и экспортируйте данные в файл Excel.
Какие категории пациентов видны в блоке визуализации аналитики? | Данные по СД 1 и 2 типа, гестационному СД, другим типам диабета, нарушенной толерантности к глюкозе и группам риска.
Какова цель создания и ведения участков в системе «Sanarip Clinic»? | Цель — обеспечить единый подход к созданию участков и приписке медработников для повышения прозрачности, доступности и эффективности оказания первичной медико-санитарной помощи.
Что дает пациенту корректно настроенная структура участков в «Sanarip Clinic»? | Пациент может видеть свой участок и прикреплённых медработников в личном кабинете, а также обращаться напрямую к нужному врачу без дополнительных уточнений.
Где в системе «Sanarip Clinic» находится модуль для работы с участками? | Работа с участками осуществляется в разделе «Приписное население» → «Список участков ОЗ».
Какие организации здравоохранения обязаны создавать участки в «Sanarip Clinic»? | Все организации, оказывающие первичную медико-санитарную помощь (ПМСП), обязаны создать участки в системе и привязать их к ГСВ или ФАП.
Как правильно называть участки для Групп семейных врачей (ГСВ)? | Участки ГСВ именуются в формате «Участок №1», «Участок №2» и т.д. Допускается добавление топонима, например: «Участок №1 (Центральный)».
Как правильно называть участки для Фельдшерско-акушерских пунктов (ФАП)? | Для ФАП используются только топонимические наименования, соответствующие географии, например: «с. Ала-Тоо», «пос. Кызыл».
Можно ли создавать новые участки, если они уже были созданы ранее? | Нет, если участки организации уже созданы в системе, создавать новые нельзя. В этом случае нужно редактировать существующие участки.
Как отредактировать наименование или данные существующего участка? | В разделе «Приписное население» → «Список участков ОЗ» найдите нужный участок и нажмите кнопку «Редактировать» напротив него.
Каких медработников необходимо прикреплять к участку ГСВ? | К участку ГСВ обязательно приписываются врач и медсестра (или фельдшер).
Каких медицинских специалистов необходимо прикреплять к участку ФАП? | К участку ФАП привязывается фельдшер, акушерка или иной ответственный специалист.
Как привязать медицинского работника к созданному участку? | В разделе «Список участков ОЗ» нажмите кнопку «Привязать мед.работника» напротив нужного участка и выберите специалиста из списка.
Можно ли привязать нескольких медработников к одному участку в системе? | Да, к участку необходимо привязать всех обслуживающих его сотрудников (врачей, медсестер, фельдшеров), добавляя их через кнопку «+».
Кто несет ответственность за актуальность данных об участках и медработниках? | Руководители организаций здравоохранения несут личную ответственность за своевременную актуализацию данных при кадровых изменениях, отпусках и перераспределении участков.
Кто осуществляет контроль за корректностью данных об участках в «Sanarip Clinic»? | Центр электронного здравоохранения проводит выборочные проверки данных и информирует уполномоченные органы МЗ КР при обнаружении нарушений.
Каким документом утверждены методические рекомендации по ведению участков? | Методические рекомендации составлены в соответствии с Приказом Министерства здравоохранения КР №754 от 10 июля 2024 года.
Где найти полный текст Приказа МЗ КР №754 о ведении участков? | Текст приказа доступен для ознакомления на официальном сайте Министерства здравоохранения Кыргызской Республики.
Что такое система Sanarip Clinic? | МИС Sanarip Clinic — это медицинская информационная система Кыргызской Республики, предназначенная для ведения цифровой стационарной медицинской карты пациента и автоматизации рабочих процессов в организациях здравоохранения.
Что означает аббревиатура КСФ в системе Sanarip Clinic? | КСФ — это клинико-статистическая форма №066/у, используемая для учета стационарных больных и передачи данных о пролеченных случаях в Фонд ОМС.
На основании какого нормативного документа внедрена цифровая стационарная карта Sanarip Clinic? | Модуль разработан во исполнение пункта 20 Плана мероприятий Концепции цифровой трансформации КР на 2024–2028 годы, утвержденной распоряжением Кабинета Министров КР №444-р.
Какая информация используется в качестве логина для входа врача в МИС Sanarip Clinic? | Логином для входа специалиста в систему Sanarip Clinic является его персональный идентификационный номер (ПИН).
Кто имеет право регистрировать новых специалистов в МИС Sanarip Clinic? | Создание учетных записей специалистов в системе осуществляют руководитель организации здравоохранения или заведующие отделениями через раздел «Специалисты».
Какими способами можно зарегистрировать пациента в стационарной карте? | Зарегистрировать пациента можно по ПИН, по полису ОМС или как «Лицо без ПИН» по ФИО, дате рождения, полу и номеру телефона, если идентификация временно невозможна.
Как обновить персональные данные пациента, зарегистрированного без ПИН? | Для актуализации данных откройте раздел «Профиль пациента», нажмите кнопку «Изменить пациента» и введите уточнённые сведения после идентификации гражданина.
Какие возможности предоставляет раздел «Маршрут пациента»? | Раздел отображает историю перевода пациента между отделениями, данные о лечащем враче и позволяет просмотреть автоматически формируемый этапный эпикриз.
Кто может вносить записи в раздел «Анамнез жизни»? | Раздел «Анамнез жизни» является общим и может дополняться всеми специалистами, оказывающими помощь пациенту как на амбулаторном, так и на стационарном уровне.
С какой внешней системой интегрирован модуль лабораторных анализов? | Модуль лабораторных анализов интегрирован с лабораторной информационной системой ЛИС ILAB для автоматического получения результатов обследований.
Как в системе Sanarip Clinic отображаются снимки инструментальных исследований? | Снимки диагностических процедур отображаются в разделе «Инструментальные обследования» за счёт интеграции с системой PACS.
Какие типы диагнозов можно выставить в цифровой стационарной карте? | В карте можно указать диагноз при поступлении, а также выставить предварительный, клинический и окончательный диагнозы.
Можно ли добавить в карту несколько сопутствующих заболеваний или осложнений? | Да, количество сопутствующих диагнозов и осложнений не ограничено, для добавления новых строк используйте кнопку со знаком плюс в конце строки.
Как добавить конкурирующий диагноз в стационарную карту? | Для ввода второго основного диагноза с его собственными осложнениями нажмите кнопку «Конкурирующий диагноз» в разделе постановки диагнозов.
Как сформировать информированное согласие или отказ пациента от медицинской услуги? | Перейдите в раздел согласий и отказов, нажмите нужную кнопку, укажите медицинскую услугу и последствия, после чего распечатайте и подпишите созданный документ.
Из каких основных блоков состоит цифровая партограмма в Sanarip Clinic? | Цифровая партограмма включает три последовательных блока: Латентная фаза родов, Активная фаза родов и Родоразрешение.
Какое главное правило действует при вводе времени в партограмму? | Вводимые дата и время осмотра не могут быть раньше уже внесенных в систему предыдущих данных партограммы.
Как назначить индукционную терапию в латентной фазе родов? | В блоке решения партограммы нажмите знак плюс, выберите лекарственное средство, например Окситоцин, и укажите дозировку и скорость введения в комментарии.
Какие графические диаграммы автоматически строятся в активной фазе родов? | В активной фазе родов система автоматически выстраивает графики динамики ЧСС роженицы, ЧСС плода и артериального давления матери.
Как открыть цифровую историю новорожденного после родов? | В блоке родоразрешения нажмите «Перейти к карте», введите первичные данные ребенка и нажмите «Создать и перейти к карте», чтобы открыть историю в новой вкладке.
Как внести данные о проведенной хирургической операции? | В разделе «Специальные клинические манипуляции» откройте «Хирургическая карта», нажмите «Добавить», заполните ход операции и состав бригады, затем сохраните.
Как медсестра отмечает выполнение назначенной процедуры или манипуляции? | Медсестра открывает список назначений, выбирает нужную процедуру, нажимает «Выполнить» и при необходимости вносит описание выполненной манипуляции.
